scene,rank,algo,reward,success_rate,collision_rate,mean_reward,mean_speed,mean_lc
in_dist,1,ppo,aggressive,0.98,0.02,163.66,20.34,14.02
in_dist,2,ppo,baseline,0.90,0.10,76.37,20.66,14.30
in_dist,3,ppo,comfort,0.80,0.20,66.19,21.71,0.00
in_dist,4,ppo,balanced,0.80,0.20,66.19,21.71,0.00
in_dist,5,dqn,comfort,0.10,0.90,41.43,24.98,0.00
in_dist,6,dqn,conservative,0.10,0.90,2.17,24.98,0.00
in_dist,7,ppo,conservative,0.10,0.90,2.17,24.98,0.00
in_dist,8,dqn,baseline,0.06,0.94,24.04,25.35,66.50
in_dist,9,dqn,aggressive,0.02,0.98,59.42,24.96,61.78
in_dist,10,dqn,balanced,0.00,1.00,4.80,29.52,0.00
lane_closure,1,ppo,aggressive,0.98,0.02,163.66,20.34,14.02
lane_closure,2,ppo,baseline,0.90,0.10,76.37,20.66,14.30
lane_closure,3,ppo,comfort,0.80,0.20,66.19,21.71,0.00
lane_closure,4,ppo,balanced,0.80,0.20,66.19,21.71,0.00
lane_closure,5,dqn,comfort,0.10,0.90,41.43,24.98,0.00
lane_closure,6,dqn,conservative,0.10,0.90,2.17,24.98,0.00
lane_closure,7,ppo,conservative,0.10,0.90,2.17,24.98,0.00
lane_closure,8,dqn,baseline,0.06,0.94,24.04,25.35,66.50
lane_closure,9,dqn,aggressive,0.02,0.98,59.42,24.96,61.78
lane_closure,10,dqn,balanced,0.00,1.00,4.80,29.52,0.00
sudden_brake,1,ppo,aggressive,0.96,0.04,162.61,20.38,15.88
sudden_brake,2,ppo,baseline,0.88,0.12,75.54,20.69,15.12
sudden_brake,3,ppo,comfort,0.80,0.20,66.09,21.72,0.40
sudden_brake,4,ppo,balanced,0.80,0.20,66.09,21.72,0.40
sudden_brake,5,dqn,comfort,0.10,0.90,41.43,24.98,0.00
sudden_brake,6,dqn,conservative,0.10,0.90,2.17,24.98,0.00
sudden_brake,7,ppo,conservative,0.10,0.90,2.17,24.98,0.00
sudden_brake,8,dqn,baseline,0.06,0.94,24.04,25.35,66.48
sudden_brake,9,dqn,aggressive,0.02,0.98,59.34,24.96,61.70
sudden_brake,10,dqn,balanced,0.00,1.00,4.80,29.52,0.00
high_density,1,ppo,aggressive,0.98,0.02,163.68,20.38,12.48
high_density,2,ppo,baseline,0.86,0.14,72.48,20.90,20.76
high_density,3,ppo,balanced,0.78,0.22,67.73,21.53,0.00
high_density,4,ppo,comfort,0.78,0.22,67.73,21.53,0.00
high_density,5,dqn,baseline,0.06,0.94,26.74,25.45,72.80
high_density,6,dqn,comfort,0.04,0.96,37.46,24.97,0.00
high_density,7,dqn,conservative,0.04,0.96,-0.38,24.97,0.00
high_density,8,ppo,conservative,0.04,0.96,-0.38,24.97,0.00
high_density,9,dqn,aggressive,0.02,0.98,78.64,24.97,81.10
high_density,10,dqn,balanced,0.00,1.00,4.76,29.60,0.00
